CSA2010,artbus11,artbus12,artbus13,artbus14,artemp11,artemp12,artemp13,artemp14,libcard11,libcard12,libcard13,libcard14,cebus14,ceemp14,publart14,murals14,artevnt14
CSA2010,"Number of Businesses that are Arts-Related per 1,000 residents (2011)","Number of Businesses that are Arts-Related per 1,000 residents (2012)","Number of Businesses that are Arts-Related per 1,000 residents (2013)","Number of Businesses that are Arts-Related per 1,000 residents (2014)",Total Employment in Arts-Related Businesses (2011),Total Employment in Arts-Related Businesses (2012),Total Employment in Arts-Related Businesses (2013),Total Employment in Arts-Related Businesses (2014),"Number of Persons with Library Cards per 1,000 Residents (2011)","Number of Persons with Library Cards per 1,000 Residents (2012)","Number of Persons with Library Cards per 1,000 Residents (2013)","Number of Persons with Library Cards per 1,000 Residents (2014)","Rate of Businesses in the Creative Economy per 1,000 residents (2014)",Number of Employees in the Creative Economy (2014),"Public Art per 1,000 Residents (2014)",Number of Public Murals (2014),"Number of Event Permits Requested per 1,000 Residents (2014)"
Allendale/Irvington/S. Hilton,0.0,0.0,0.0,0.0,0,0,0,0,194.7,206.3,185.5,318.6,0.1,1,1.0,3,0.2
Beechfield/Ten Hills/West Hills,0.2,0.2,0.1,0.1,5,7,4,4,153.2,153.1,140.4,249.5,0.2,8,0.1,0,0.2
Belair-Edison,0.2,0.2,0.2,0.2,33,35,35,22,319.4,310.3,261.3,444.0,0.6,58,1.7,7,0.5
Brooklyn/Curtis Bay/Hawkins Point,0.3,0.3,0.4,0.1,17,18,14,8,229.7,195.5,187.1,307.6,0.7,36,0.3,1,0.4
Canton,0.5,0.4,0.5,0.6,9,5,5,6,267.8,235.3,169.4,284.3,2.6,162,0.2,0,3.5
Cedonia/Frankford,0.2,0.3,0.2,0.3,12,15,11,13,216.3,213.4,186.2,305.5,0.5,25,0.1,0,0.2
Cherry Hill,0.4,0.2,0.5,0.4,59,11,21,17,323.6,309.4,279.7,508.0,0.6,27,0.7,2,0.1
Chinquapin Park/Belvedere,0.3,0.3,0.3,0.4,15,15,7,5,236.7,247.9,218.3,333.4,1.0,17,0.6,3,0.5
Claremont/Armistead,0.4,0.4,0.2,0.2,22,22,14,15,182.7,166.2,145.3,277.4,0.5,32,0.4,1,0.1
Clifton-Berea,0.2,0.2,0.1,0.1,6,6,1,1,279.5,264.4,220.8,401.7,0.3,12,1.2,3,1.1
Cross-Country/Cheswolde,0.4,0.4,0.7,0.6,11,11,19,14,78.3,104.3,105.2,130.4,1.1,25,0.2,0,0.2
Dickeyville/Franklintown,0.0,0.0,0.2,0.2,0,0,3,3,114.4,124.1,119.7,190.4,0.7,6,1.0,0,0.5
Dorchester/Ashburton,0.1,0.1,0.1,0.1,6,6,6,6,206.3,211.2,190.1,293.0,0.2,21,1.2,0,0.4
Downtown/Seton Hill,7.0,7.8,7.3,8.4,559,570,551,517,381.0,328.1,262.8,446.9,18.9,1467,14.6,39,16.9
Edmondson Village,0.3,0.3,0.3,0.3,7,8,9,9,293.0,342.3,283.2,453.0,0.3,9,0.5,0,0.5
Fells Point,1.7,1.4,1.3,1.5,93,67,89,99,249.3,218.3,181.0,292.0,4.4,733,2.0,4,2.8
Forest Park/Walbrook,0.3,0.3,0.3,0.4,7,7,7,15,279.1,262.7,242.3,411.5,0.5,17,0.2,0,0.7
Glen-Fallstaff,0.3,0.3,0.4,0.5,12,20,24,99,125.1,175.3,190.9,272.6,1.5,220,0.3,1,0.1
Greater Charles Village/Barclay,1.5,1.5,1.9,1.6,273,279,350,337,244.4,222.4,183.5,297.5,3.4,707,2.9,6,2.1
Greater Govans,0.3,0.1,0.1,0.2,12,7,7,10,290.0,279.0,235.7,379.2,0.7,26,1.2,5,0.4
Greater Mondawmin,0.6,0.5,0.4,0.4,51,33,31,15,239.2,233.2,217.4,360.9,1.0,37,1.1,0,0.9
Greater Roland Park/Poplar Hill,1.1,1.2,1.2,1.6,24,28,30,53,486.5,448.3,359.1,467.1,4.1,97,2.4,0,0.5
Greater Rosemont,0.1,0.1,0.1,0.1,16,16,16,6,256.3,265.2,227.3,399.4,0.2,27,0.6,4,1.2
Greenmount East,0.1,0.1,0.1,0.1,20,20,20,20,284.9,268.6,228.5,430.6,0.1,20,0.9,5,2.0
Hamilton,0.3,0.2,0.4,0.4,8,7,10,8,224.4,222.7,192.4,300.0,0.8,19,0.1,1,0.2
Harbor East/Little Italy,2.2,2.0,2.0,2.4,89,84,87,95,319.6,328.6,276.9,437.0,5.9,343,1.1,4,3.3
Harford/Echodale,0.5,0.5,0.6,0.7,32,36,38,29,188.6,182.7,149.7,251.0,1.1,76,0.1,0,0.2
Highlandtown,0.8,0.8,0.8,1.0,33,34,38,40,362.1,326.8,278.2,407.2,2.6,128,0.6,1,2.1
Howard Park/West Arlington,0.3,0.3,0.3,0.1,16,16,17,2,141.2,151.7,142.7,223.4,0.3,29,0.1,0,0.4
Inner Harbor/Federal Hill,2.3,2.1,2.2,2.1,884,877,1071,1073,314.4,290.8,252.6,380.9,5.3,1826,1.5,2,12.6
Lauraville,0.2,0.4,0.7,0.6,2,15,27,22,266.6,237.5,204.1,341.2,1.5,46,0.6,2,0.6
Loch Raven,0.3,0.3,0.2,0.3,5,5,3,5,212.8,213.2,176.1,286.5,0.4,12,0.1,0,0.2
Madison/East End,0.1,0.1,0.1,0.3,3,3,3,6,330.8,320.8,270.9,443.5,0.3,6,0.5,4,2.4
Medfield/Hampden/Woodberry/Remington,1.9,2.0,2.4,2.4,137,130,158,156,328.3,305.3,254.8,391.7,7.1,1431,0.7,4,0.9
Midtown,3.1,3.0,3.3,3.3,625,787,615,569,386.1,363.2,309.9,462.1,7.2,1952,1.9,4,2.5
Midway/Coldstream,0.3,0.3,0.3,0.2,8,8,11,3,275.2,230.7,207.9,392.4,0.4,11,0.6,4,2.1
Morrell Park/Violetville,0.1,0.2,0.2,0.2,2,12,3,4,67.2,68.3,62.1,101.1,1.2,271,0.4,3,0.2
Mount Washington/Coldspring,1.0,0.8,1.4,1.2,141,20,27,25,269.0,273.6,224.3,290.6,2.1,89,0.2,0,0.6
North Baltimore/Guilford/Homeland,0.7,0.7,0.8,1.0,72,75,72,89,244.0,224.5,188.0,258.5,2.3,194,0.9,0,0.4
Northwood,0.3,0.4,0.4,0.5,41,44,47,53,272.1,265.8,218.9,360.4,0.8,154,0.4,2,0.8
Oldtown/Middle East,1.1,1.0,0.8,0.8,166,162,156,156,313.6,305.4,284.9,486.7,0.9,158,5.2,8,2.9
Orangeville/East Highlandtown,0.5,0.7,1.0,0.9,61,62,66,61,281.5,278.9,251.5,350.6,2.2,224,2.0,10,1.0
Patterson Park North & East,0.4,0.4,0.2,0.1,47,47,30,7,372.7,333.0,289.6,473.4,0.5,23,0.3,2,1.9
Penn North/Reservoir Hill,0.4,0.4,0.4,0.3,25,25,321,21,299.3,298.5,261.9,448.9,0.8,33,4.0,4,2.0
Pimlico/Arlington/Hilltop,0.5,0.4,0.4,0.3,22,19,22,19,163.1,202.1,213.0,310.4,0.8,69,0.9,2,0.7
Poppleton/The Terraces/Hollins Market,0.4,0.2,0.4,0.4,17,15,6,6,277.6,288.8,238.5,389.3,0.4,6,1.2,5,2.2
Sandtown-Winchester/Harlem Park,0.0,0.1,0.1,0.0,0,2,2,0,276.5,257.7,228.5,414.2,0.0,0,0.7,6,1.6
South Baltimore,0.5,0.3,0.2,0.6,42,39,3,55,246.2,210.7,175.3,299.7,1.9,853,0.5,1,1.4
Southeastern,0.8,0.6,0.5,0.5,18,17,14,48,173.8,156.1,130.2,219.3,2.2,278,0.0,0,0.6
Southern Park Heights,0.0,0.2,0.3,0.1,0,3,17,10,183.6,187.5,193.9,318.8,0.5,54,0.5,2,0.8
Southwest Baltimore,0.2,0.2,0.3,0.2,11,10,18,13,205.9,203.4,177.3,296.0,0.7,60,1.5,17,1.0
The Waverlies,0.1,0.3,0.4,0.4,3,5,7,9,359.0,345.7,270.3,447.8,1.0,17,6.7,12,1.2
Upton/Druid Heights,0.6,0.5,0.5,0.4,25,23,24,23,293.7,285.3,253.1,426.5,0.5,25,1.9,7,2.5
Washington Village/Pigtown,1.1,1.1,1.1,1.3,84,84,63,101,318.9,301.8,271.7,422.5,2.9,337,3.5,13,7.6
Westport/Mount Winans/Lakeland,0.3,0.3,0.3,0.4,12,12,8,12,155.5,149.3,133.4,246.4,1.4,105,4.2,13,0.4
Baltimore City,0.6,0.6,0.7,0.7,3900,3884,4258,4014,249.6,241.7,210.3,341.8,1.6,12619,1.2,218,1.4