CSA2010,teenbir10,teenbir11,teenbir12,teenbir13,teenbir14,termbir10,termbir11,termbir12,termbir13,termbir14,birthwt10,birthwt11,birthwt12,birthwt13,birthwt14,prenatal10,prenatal11,prenatal12,prenatal13,prenatal14,leadtest10,leadtest11,leadtest12,leadtest13,leadtest14,ebll10,ebll11,ebll12,ebll13,ebll14,LifeExp11,LifeExp12,LifeExp13,LifeExp14,mort1_11,mort1_12,mort1_13,mort1_14,mort14_11,mort14_12,mort14_13,mort14_14,mort24_11,mort24_12,mort24_13,mort24_14,mort44_11,mort44_12,mort44_13,mort44_14,mort64_11,mort64_12,mort64_13,mort64_14,mort84_11,mort84_12,mort84_13,mort84_14,mort85_11,mort85_12,mort85_13,mort85_14,liquor11,liquor12,liquor13,liquor14,fastfd11,fastfd13,tanf11,tanf12,tanf13,tanf14
Greater Roland Park/Poplar Hill,0.0,0.0,0.0,0.0,0.0,94.3,91.1,83.6,94.4,96.4,94.3,89.3,88.5,96.3,100.0,74.3,73.2,86.9,64.8,65.5,132,57,43,122,99,0.0,0.0,0.0,0.0,0.0,84.1,84.4,84.4,83.8,0.0,3.3,3.4,3.4,1.8,0.0,0.0,0.0,5.7,2.8,0.0,0.0,3.2,2.1,2.1,4.3,33.2,33.2,29.7,33.2,213.1,209.7,161.1,218.1,1317.1,1280.5,1073.2,1390.2,0.4,0.3,0.4,0.3,0.7,0.8,0.3,0.3,0.2,0.1
Greater Rosemont,80.8,64.7,58.5,57.2,44.8,87.1,88.6,82.1,84.8,83.8,87.8,90.5,81.3,84.8,85.7,52.3,49.6,58.2,45.5,44.1,479,496,95,101,115,1.0,1.6,5.3,0.0,5.2,69.2,70.1,70.0,70.2,11.1,13.6,15.2,13.3,3.1,3.1,2.1,1.6,16.3,12.4,10.4,15.0,52.6,46.1,38.2,47.0,145.8,143.2,111.2,146.2,461.2,436.0,336.2,422.5,1323.7,1289.9,990.3,1236.7,0.9,1.0,0.9,0.9,1.4,1.4,16.0,18.4,16.1,21.0
Greenmount East,99.2,79.9,55.1,74.4,90.9,85.4,85.3,84.4,84.2,85.2,82.6,82.4,84.4,88.5,84.6,48.6,64.0,62.6,40.3,40.3,183,167,185,209,229,3.8,3.6,3.8,4.8,4.8,67.0,67.4,66.1,67.8,20.5,18.2,20.5,19.9,9.2,6.5,3.9,3.9,12.2,9.1,6.1,9.1,54.1,48.4,41.7,45.0,167.0,175.2,160.5,173.6,433.9,445.2,395.5,447.5,1546.2,1630.3,1395.0,1546.2,2.2,2.0,1.6,1.6,1.4,0.8,20.1,22.9,20.6,23.9
Hamilton,25.3,10.5,27.4,33.7,18.9,83.1,86.2,88.0,83.6,87.8,86.4,89.9,91.1,86.1,89.1,68.6,71.7,65.8,55.2,45.6,64,177,161,203,248,0.0,0.0,0.0,0.0,0.0,75.3,75.4,75.0,74.9,13.2,15.0,16.0,8.3,4.4,4.4,1.8,2.7,8.1,8.1,6.9,10.4,19.4,16.7,10.2,17.2,71.6,76.4,56.7,89.3,424.3,413.9,325.2,415.7,1417.6,1272.0,1034.5,1402.3,1.3,0.5,1.2,0.5,0.8,0.9,3.5,4.4,4.1,3.3
Harbor East/Little Italy,70.4,70.4,49.3,49.3,28.2,84.0,88.0,85.6,88.2,83.0,85.1,89.2,87.8,90.6,84.1,61.7,57.8,64.4,50.6,46.6,199,154,39,142,52,0.0,0.0,0.0,0.0,0.0,73.5,72.5,72.7,72.3,15.5,19.5,20.3,20.5,3.9,1.9,0.0,0.0,20.2,20.2,17.3,20.2,17.9,19.9,16.9,18.9,116.9,118.5,97.4,125.0,365.3,383.9,303.4,396.3,1117.6,1235.3,941.2,1235.3,3.1,3.3,2.8,2.8,3.0,3.1,14.8,12.8,14.1,15.4
Harford/Echodale,15.8,45.5,29.7,23.8,23.8,85.8,87.2,86.2,80.4,86.4,88.1,89.7,89.2,83.0,89.0,58.0,64.9,66.4,57.0,56.0,156,297,348,380,404,0.0,0.0,0.0,0.0,0.0,75.9,76.2,76.0,75.8,6.3,6.4,4.1,2.7,3.3,3.3,2.7,3.3,10.6,8.8,7.0,10.6,18.6,17.0,15.4,17.8,80.5,81.8,70.1,86.9,357.1,350.4,274.9,361.2,1589.7,1572.6,1205.1,1606.8,0.4,0.7,0.3,0.7,0.6,0.6,4.3,4.1,3.5,4.0
Highlandtown,77.6,77.6,94.8,103.4,43.1,92.4,87.9,93.5,93.3,88.6,91.6,89.2,92.0,92.7,91.0,62.6,58.6,74.6,60.0,50.6,113,107,105,199,235,0.0,0.0,0.0,0.0,0.0,74.0,74.4,74.3,74.0,4.4,7.3,8.3,10.7,0.0,0.0,0.0,0.0,9.0,9.0,9.0,11.3,11.1,10.6,8.2,10.6,118.2,109.5,93.4,119.7,434.8,398.6,286.2,373.2,1728.8,1711.9,1186.4,1372.9,5.1,5.2,4.8,4.8,2.3,1.9,3.9,3.2,3.0,3.3
Howard Park/West Arlington,61.6,44.8,33.6,5.6,64.4,85.0,89.5,82.5,90.4,86.2,86.0,94.2,81.6,89.4,86.9,48.6,69.8,68.0,46.8,42.3,0,237,0,NA,0,0.0,0.0,0.0,NA,0.0,74.2,75.0,75.4,76.0,8.8,7.5,7.9,5.7,2.4,2.4,2.4,1.2,10.9,9.6,8.2,8.2,40.0,30.7,22.1,24.7,108.6,108.6,82.2,98.6,348.0,348.0,273.3,340.3,1144.0,1198.4,957.2,1369.6,0.3,0.3,0.2,0.2,0.9,0.7,5.1,6.0,5.7,4.6
Inner Harbor/Federal Hill,30.0,30.0,10.0,30.0,10.0,92.7,90.8,89.8,91.1,87.6,92.1,93.5,92.1,93.9,94.6,74.4,77.7,76.3,65.6,64.5,232,172,239,236,207,0.0,0.0,0.0,0.0,0.0,77.3,77.8,78.8,78.9,7.1,6.9,5.7,5.6,0.0,0.0,0.0,0.0,5.4,5.4,3.3,3.3,6.9,5.6,3.6,4.3,83.6,86.9,71.6,82.0,343.3,336.7,258.7,326.7,1298.0,1245.0,1046.4,1311.3,3.3,2.6,3.3,2.5,4.2,4.4,2.8,3.6,2.6,1.6
Lauraville,38.8,34.2,27.4,25.1,18.3,85.8,84.8,86.0,89.6,89.9,86.6,87.4,87.3,90.3,87.9,66.1,59.6,62.7,61.9,53.0,145,33,120,138,200,0.0,0.0,0.0,0.0,0.0,74.2,75.0,75.3,76.1,18.0,14.7,9.7,5.6,1.9,1.9,1.0,2.9,9.8,11.0,11.0,11.0,20.1,18.3,15.4,16.0,83.5,78.7,60.5,77.1,422.9,401.1,321.2,372.1,1547.7,1527.6,1216.1,1477.4,0.7,0.6,0.7,0.5,0.6,0.7,4.2,5.0,4.0,4.6
Loch Raven,57.8,31.7,18.7,24.3,22.4,83.9,84.3,88.1,83.9,86.3,88.6,86.0,88.1,86.3,88.1,54.4,62.8,58.5,46.0,44.0,0,222,190,236,173,0.0,0.0,0.0,0.0,0.0,75.2,75.9,76.2,76.6,13.6,13.7,14.6,13.8,1.5,0.8,0.0,0.8,15.4,12.0,8.6,7.7,24.2,23.7,18.8,21.7,86.9,84.1,67.9,81.3,336.8,342.1,272.6,346.0,1263.5,1184.1,895.3,1075.8,0.2,0.1,0.2,0.2,0.3,0.3,3.9,5.3,4.4,3.8
Madison/East End,81.0,86.1,75.9,55.7,38.0,83.6,85.6,81.8,87.5,82.6,85.4,83.1,89.4,85.3,84.8,50.3,53.8,65.3,41.2,39.9,377,353,318,312,173,6.1,5.9,4.4,3.8,4.0,66.8,67.4,68.2,68.7,14.0,14.4,15.5,12.9,1.0,2.1,2.1,5.2,23.1,20.4,12.2,9.5,53.7,42.4,33.1,32.0,166.0,176.2,142.1,174.0,504.2,491.6,382.4,474.8,1578.9,1368.4,1157.9,1578.9,1.8,1.5,1.7,1.3,4.6,5.0,24.7,26.9,26.5,29.1
Medfield/Hampden/Woodberry/Remington,58.8,44.1,44.1,7.4,14.7,90.0,92.1,90.9,91.9,89.6,91.0,93.4,91.8,94.6,91.7,66.5,69.0,67.9,61.5,66.3,156,275,283,313,271,0.0,0.0,0.0,0.0,0.0,75.5,75.9,76.4,76.2,6.3,7.1,4.4,7.1,2.2,2.2,2.2,2.2,9.5,8.4,6.3,6.3,17.4,14.8,11.5,15.0,98.7,97.2,76.2,95.1,414.6,405.0,316.9,399.2,1041.3,1052.3,854.0,1016.5,1.2,1.2,1.0,1.0,1.0,1.0,2.7,2.3,2.1,1.7
Midtown,8.0,4.8,4.8,3.2,6.4,89.3,86.3,93.4,94.1,80.5,90.2,90.4,91.7,91.1,85.6,67.9,58.9,66.1,66.3,52.5,0,65,116,71,114,0.0,0.0,0.0,0.0,0.0,74.8,76.0,76.0,75.7,11.5,7.6,7.8,11.2,2.9,2.9,2.9,2.9,4.0,2.9,2.9,2.3,17.0,14.9,12.5,12.5,113.2,109.7,87.1,109.1,362.6,355.4,276.7,347.0,1058.8,983.2,764.7,1126.1,1.9,1.9,1.9,1.8,2.1,2.6,5.3,6.9,6.0,4.3
Midway/Coldstream,53.7,79.4,65.4,58.4,51.4,85.7,81.8,80.9,88.2,88.2,79.4,85.5,84.2,87.5,88.2,45.2,53.3,51.4,38.9,42.8,114,328,114,242,112,6.1,5.5,6.1,5.4,6.3,66.1,67.9,68.8,69.4,10.6,15.4,8.8,13.0,12.6,8.4,8.4,10.5,36.4,29.9,20.8,18.2,59.8,41.6,30.3,38.1,155.1,145.7,115.9,142.5,448.8,422.9,328.7,397.0,1657.1,1866.7,1390.5,1771.4,1.5,1.6,1.2,1.4,2.1,2.4,15.4,18.5,16.2,17.4
Morrell Park/Violetville,78.8,14.8,39.4,34.5,49.3,87.5,86.1,88.0,92.5,91.7,92.5,92.2,93.2,92.5,94.4,61.7,65.2,58.1,52.2,58.3,65,119,108,202,190,0.0,0.0,0.0,0.0,0.0,72.2,72.7,72.7,73.0,11.3,11.6,10.2,10.1,2.8,0.0,0.0,0.0,21.4,21.4,17.5,19.5,25.6,20.2,16.3,21.7,135.8,130.7,106.7,142.6,458.3,488.6,384.2,429.7,907.8,912.6,737.9,898.1,1.2,1.2,1.1,0.9,1.1,1.7,3.3,4.1,3.4,4.5
Mount Washington/Coldspring,10.9,10.9,0.0,0.0,10.9,89.6,90.9,95.3,87.0,92.4,92.5,92.7,96.9,89.9,89.4,64.2,70.9,70.3,71.0,65.2,90,122,112,98,103,0.0,0.0,0.0,0.0,0.0,81.1,81.7,81.4,81.3,3.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.3,6.6,6.6,10.6,52.8,46.3,29.6,43.8,283.7,257.9,212.0,260.7,1562.0,1532.8,1226.3,1591.2,0.2,0.4,0.2,0.4,0.2,1.0,0.3,0.3,0.4,0.2
North Baltimore/Guilford/Homeland,3.1,1.6,0.0,0.0,0.8,91.5,92.2,92.6,89.6,90.1,90.7,89.4,94.1,88.1,94.3,63.6,69.5,75.7,67.2,72.3,239,107,46,256,178,0.0,0.0,0.0,0.0,0.0,82.2,83.2,83.8,83.9,4.1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.9,9.4,7.2,6.1,7.2,54.7,53.2,39.4,51.3,219.2,209.9,159.8,193.5,1272.1,1236.7,932.9,1116.6,0.1,0.3,0.1,0.3,1.0,0.7,0.8,0.7,0.6,0.5
Northwood,15.6,13.4,18.6,16.4,11.2,85.9,85.7,88.1,87.9,77.5,84.0,86.3,91.4,88.5,80.1,58.3,55.9,57.6,52.1,41.7,170,254,327,172,240,0.0,0.0,0.0,0.0,0.0,75.9,76.2,76.3,76.2,12.6,13.1,14.9,17.7,0.0,0.0,0.0,0.0,5.5,5.1,4.2,5.5,30.0,25.9,21.2,18.8,90.9,89.9,72.2,90.4,283.2,284.3,222.9,301.6,1297.6,1365.9,1034.1,1356.1,0.1,0.1,0.1,0.1,0.4,0.4,5.7,6.6,6.5,4.9
Oldtown/Middle East,74.2,47.5,38.6,41.5,50.4,87.8,90.7,84.6,84.3,87.2,87.2,87.9,79.7,86.6,85.3,53.8,63.6,67.8,43.6,48.1,171,188,274,138,231,0.0,0.0,0.0,0.0,0.0,75.0,74.0,72.5,72.0,10.0,10.0,10.4,11.6,5.1,5.1,5.1,2.0,4.9,6.1,6.1,9.7,32.5,28.1,21.4,26.6,107.1,121.3,105.4,151.4,296.4,335.5,292.6,404.5,1155.2,1206.9,896.6,1103.4,0.7,0.4,0.8,0.5,3.1,4.1,19.9,24.7,19.8,21.0
Orangeville/East Highlandtown,106.1,111.1,45.5,90.9,65.7,87.6,92.9,88.4,92.3,87.2,91.0,93.4,91.0,94.4,88.1,40.4,45.1,58.3,42.6,45.4,0,96,0,279,175,0.0,0.0,0.0,1.8,0.0,72.3,72.9,72.6,72.3,3.1,4.1,5.1,9.8,0.0,0.0,0.0,0.0,9.9,8.2,4.9,11.5,24.2,19.7,14.0,16.5,145.9,150.8,121.9,146.9,409.1,383.1,307.4,404.8,1642.1,1578.9,1273.7,1526.3,3.2,2.8,3.2,2.5,1.9,2.5,4.3,6.6,5.8,5.3
Patterson Park North & East,87.1,82.1,104.5,67.2,87.1,89.6,87.8,88.9,86.9,87.6,91.9,88.8,88.9,86.9,90.3,50.8,56.6,70.6,52.7,45.6,410,217,171,228,401,3.4,2.3,0.0,0.0,0.0,71.4,71.7,71.6,72.6,7.9,7.7,9.7,10.8,4.0,2.4,2.4,0.8,19.6,16.8,11.2,12.1,22.0,19.7,15.0,16.3,126.5,137.6,119.2,134.6,444.7,421.9,330.4,404.1,1655.7,1590.2,1229.5,1393.4,1.4,1.4,1.2,1.2,0.8,1.3,9.5,11.3,8.8,9.4
Penn North/Reservoir Hill,47.1,61.8,79.4,47.1,58.8,79.3,82.9,86.0,81.9,85.6,84.3,87.1,84.9,86.1,91.4,54.3,62.1,61.6,38.9,49.6,88,70,0,202,130,0.0,0.0,0.0,0.0,0.0,69.2,69.9,70.2,71.3,12.8,12.6,14.3,9.4,0.0,0.0,0.0,2.2,25.0,23.5,14.7,10.3,50.0,50.0,40.7,42.3,137.7,130.7,103.3,126.5,477.5,444.2,341.5,418.5,1280.7,1368.4,1175.4,1421.1,1.0,0.7,0.9,0.6,0.3,0.7,18.8,23.1,18.5,16.5
Pimlico/Arlington/Hilltop,63.7,46.6,53.9,56.4,56.4,83.4,83.1,84.8,88.1,85.0,84.7,84.4,81.2,86.6,85.0,51.0,57.8,52.9,41.0,36.6,0,161,236,237,124,0.0,3.1,0.0,0.0,0.0,68.6,69.1,68.8,68.2,18.9,21.0,18.4,23.2,1.9,1.0,1.0,1.0,23.2,19.6,7.3,18.3,44.4,41.3,35.8,49.9,155.3,157.7,128.9,166.1,423.3,413.4,331.0,422.2,1446.4,1482.1,1232.1,1562.5,1.1,1.0,0.8,0.7,1.6,2.1,11.8,12.7,10.9,13.0
Poppleton/The Terraces/Hollins Market,65.5,89.3,53.6,65.5,47.6,89.0,92.3,82.4,87.9,81.7,84.9,91.0,83.8,85.9,78.9,53.4,48.7,67.6,44.4,52.1,88,117,131,43,0,0.0,0.0,0.0,0.0,0.0,64.7,67.1,67.8,68.8,14.1,10.1,12.4,12.8,4.0,2.0,2.0,2.0,23.9,21.2,18.6,10.6,49.3,37.0,27.4,23.3,217.2,197.4,151.9,198.9,574.0,514.8,405.5,478.4,1611.1,1666.7,1055.6,1500.0,2.0,1.8,2.0,1.4,3.9,2.4,17.6,26.1,23.8,22.6
Sandtown-Winchester/Harlem Park,69.8,61.9,73.0,46.0,60.3,80.4,82.1,81.3,81.9,85.8,86.8,85.4,82.8,81.1,83.7,58.3,59.2,62.2,37.4,35.0,203,99,95,291,248,6.9,0.0,7.4,0.0,2.8,67.5,68.8,69.7,70.0,16.8,13.2,9.7,7.4,3.4,2.8,2.1,2.1,23.1,19.0,15.7,19.8,56.1,44.3,30.3,43.7,158.5,165.5,126.1,161.0,483.8,466.5,380.4,430.7,1243.0,1282.9,1027.9,1131.5,1.5,1.5,1.3,1.4,1.0,1.3,22.3,25.0,23.8,24.2
South Baltimore,0.0,30.8,15.4,46.2,15.4,97.1,90.2,92.6,95.7,92.1,95.1,91.7,94.9,94.3,92.9,71.8,70.5,80.9,71.4,73.8,121,97,72,163,137,0.0,0.0,0.0,0.0,0.0,74.9,75.0,75.8,77.1,5.7,5.2,4.8,1.6,4.0,4.0,4.0,4.0,2.7,2.7,0.0,2.7,8.5,10.3,7.9,8.5,95.7,86.1,78.1,76.6,470.3,465.9,329.7,360.4,1761.2,1850.7,1582.1,1850.7,2.2,3.6,2.0,3.3,0.7,1.3,1.6,1.2,0.8,0.5
Southeastern,68.0,68.0,43.7,53.4,63.1,83.0,89.1,88.1,94.2,87.9,83.0,89.1,89.8,92.5,89.7,50.9,55.4,57.6,43.3,49.1,202,65,64,NA,65,0.0,0.0,0.0,NA,0.0,73.5,74.0,72.3,73.8,9.1,9.0,9.0,8.9,0.0,1.8,1.8,3.6,13.6,6.8,6.8,2.3,29.1,27.9,23.5,24.6,122.1,122.1,101.8,128.5,380.8,389.8,308.8,365.8,1323.3,1172.9,992.5,1293.2,2.6,2.4,2.6,2.6,0.8,1.8,7.4,8.8,8.0,7.8
Southern Park Heights,78.2,72.6,54.0,35.4,41.0,85.4,91.6,84.3,83.9,86.8,87.7,91.1,83.3,82.0,84.1,52.4,47.5,48.1,41.0,40.0,0,297,0,NA,164,0.0,0.0,0.0,NA,0.0,68.3,69.2,69.6,69.6,14.4,14.3,17.2,15.2,6.1,4.6,2.3,2.3,20.8,17.9,12.3,13.2,43.9,42.0,31.8,39.4,145.8,144.1,116.2,158.7,454.8,429.8,334.9,417.9,1536.2,1536.2,1260.9,1536.2,0.8,0.8,0.7,0.6,0.8,0.5,14.1,17.5,16.0,13.5
Southwest Baltimore,82.4,75.8,66.7,60.1,35.3,85.8,85.5,86.4,89.8,87.2,87.0,86.1,88.5,86.7,89.7,50.0,45.7,51.2,41.6,39.9,506,72,296,236,62,5.3,6.9,3.7,5.5,0.0,67.3,67.8,68.3,68.3,14.2,15.0,11.7,11.6,5.4,5.4,3.8,4.9,22.0,22.0,16.3,17.0,48.1,44.1,34.9,49.9,177.6,169.6,131.8,160.8,481.6,473.9,372.2,471.3,1333.3,1315.8,1052.6,1307.0,2.5,2.6,2.2,2.1,2.2,2.3,19.7,23.5,21.5,22.7
The Waverlies,53.6,35.7,62.5,53.6,62.5,82.1,89.2,88.6,87.4,88.1,83.8,92.8,87.6,88.5,90.8,55.6,63.1,68.6,47.1,59.6,100,72,166,146,155,0.0,0.0,0.0,0.0,0.0,72.2,72.0,73.2,73.0,13.5,14.0,11.3,11.3,1.5,1.5,1.5,3.0,23.7,23.7,17.8,13.8,30.4,30.4,19.7,23.2,114.1,121.7,95.1,117.0,378.7,383.2,326.5,405.9,1346.9,1265.3,1040.8,1346.9,1.2,0.6,1.2,0.5,0.6,1.5,11.8,12.0,11.3,9.8
Upton/Druid Heights,97.4,92.1,76.3,39.5,31.6,88.3,82.4,86.6,88.5,87.1,88.3,82.4,88.1,88.5,85.9,60.8,49.7,57.2,38.3,38.0,85,0,68,220,113,0.0,0.0,0.0,0.0,0.0,66.1,67.3,67.9,68.8,14.1,10.3,11.8,10.0,1.7,3.3,1.7,2.5,27.2,22.5,16.6,20.1,51.7,49.3,34.2,36.6,184.5,172.6,140.0,171.0,515.0,489.3,395.3,485.0,1607.1,1607.1,1250.0,1375.0,0.9,1.0,0.7,0.8,1.8,1.9,23.8,27.6,23.8,24.8
Washington Village/Pigtown,69.8,64.0,46.5,11.6,52.3,84.8,89.0,80.7,84.8,91.6,92.9,90.2,88.6,83.7,89.2,65.7,59.8,67.0,45.7,47.0,0,0,50,159,171,0.0,0.0,0.0,0.0,0.0,70.3,69.8,69.6,70.2,13.9,13.3,8.9,4.5,0.0,2.3,2.3,2.3,14.7,17.1,17.1,17.1,30.0,28.1,24.2,31.9,122.4,124.1,102.6,134.0,547.3,577.1,482.6,537.3,1377.8,1333.3,977.8,1288.9,3.5,3.1,2.4,1.6,2.2,2.9,9.3,13.1,11.0,14.0
Westport/Mount Winans/Lakeland,64.9,99.2,30.5,45.8,72.5,86.8,82.5,85.7,77.5,85.0,92.6,83.2,86.6,83.3,87.5,47.1,51.8,57.1,36.7,36.7,208,232,232,44,0,0.0,0.0,0.0,0.0,0.0,74.5,72.8,71.3,73.8,17.0,12.7,11.2,1.8,0.0,0.0,0.0,0.0,19.8,18.0,14.4,16.2,23.8,27.8,24.8,27.8,88.1,96.6,91.7,101.5,351.0,453.4,446.1,431.4,1254.9,1294.1,1254.9,1176.5,0.8,0.8,0.8,0.8,2.2,2.1,10.8,12.9,11.7,12.0
Baltimore City,51.1,46.6,41.5,36.1,33.8,86.5,87.4,86.6,87.5,87.3,88.3,88.4,88.2,88.1,88.5,57.0,59.0,62.7,49.5,48.5,19702,19036,18723,18535,17961,1.6,1.4,1.2,1.2,1.1,73.5,73.9,73.5,73.8,11.7,9.7,10.7,10.4,2.8,2.5,1.9,2.1,13.5,11.9,9.1,10.4,27.3,24.0,18.9,23.0,117.9,114.1,92.8,117.5,393.7,373.8,303.4,379.4,1315.0,1231.5,1036.5,1300.9,1.3,1.2,1.1,1.1,1.4,1.5,9.4,11.0,9.8,9.7